Type,Domain,Problem,Compiler,SAT Clauses,SAT Vars,SAT Encoding Time,Compiled Size,Compiled #Sol,Compile Time
action,mystery,prob01.pddl,sharpSAT,454,209,0.0853970050812,-,40326585002446220880382315776611385195868,0.0299999974668
action,mystery,prob01.pddl,c2d-dt0,454,209,0.0853970050812,6756,40326585002446220880382315776611385195868,1.37999999896
action,mystery,prob01.pddl,cnf2bdd,454,209,0.0853970050812,104970,-,24.2200000025
action,mystery,prob01.pddl,c2d-dt4,454,209,0.0853970050812,6689,40326585002446220880382315776611385195868,0.0799999982119
action,mystery,prob01.pddl,mc2d-dt4,454,209,0.0853970050812,9898,40326585002446220880382315776611385195868,0.089999999851
action,mystery,prob01.pddl,bddminisat,454,209,0.0853970050812,memout,memout,9.12000000104
action,mystery,prob01.pddl,mc2d-dt0,454,209,0.0853970050812,9401,40326585002446220880382315776611385195868,1.41000000015
action,mystery,prob01.pddl,dsharp,454,209,0.0853970050812,3242,40326599999999997783471563601121980186624,0.089999999851
action,mystery,prob02.pddl,sharpSAT,10789,3888,0.668545007706,memout,memout,462.09
action,mystery,prob02.pddl,c2d-dt0,10789,3888,0.668545007706,timeout,timeout,1800.1
action,mystery,prob02.pddl,cnf2bdd,10789,3888,0.668545007706,timeout,timeout,1800.05
action,mystery,prob02.pddl,c2d-dt4,10789,3888,0.668545007706,timeout,timeout,1800.16
action,mystery,prob02.pddl,mc2d-dt4,10789,3888,0.668545007706,memout,memout,252.969999999
action,mystery,prob02.pddl,bddminisat,10789,3888,0.668545007706,memout,memout,37.3200000003
action,mystery,prob02.pddl,mc2d-dt0,10789,3888,0.668545007706,segfault,segfault,1005.98
action,mystery,prob02.pddl,dsharp,10789,3888,0.668545007706,memout,memout,26.1499999985
action,mystery,prob03.pddl,sharpSAT,5029,1887,0.364182949066,memout,memout,353.600000001
action,mystery,prob03.pddl,c2d-dt0,5029,1887,0.364182949066,timeout,timeout,1800.05
action,mystery,prob03.pddl,cnf2bdd,5029,1887,0.364182949066,timeout,timeout,1800.24
action,mystery,prob03.pddl,c2d-dt4,5029,1887,0.364182949066,timeout,timeout,1800.08
action,mystery,prob03.pddl,mc2d-dt4,5029,1887,0.364182949066,timeout,timeout,1800.04
action,mystery,prob03.pddl,bddminisat,5029,1887,0.364182949066,memout,memout,48.6400000006
action,mystery,prob03.pddl,mc2d-dt0,5029,1887,0.364182949066,memout,memout,1369.81
action,mystery,prob03.pddl,dsharp,5029,1887,0.364182949066,memout,memout,32.9300000034
action,mystery,prob04.pddl,sharpSAT,631,328,0.0800111293793,-,532561096728973998097936128180700349965137944472049256582031352,0.209999997169
action,mystery,prob04.pddl,c2d-dt0,631,328,0.0800111293793,71570,532561096728973998097936128180700349965137944472049256582031352,2.3200000003
action,mystery,prob04.pddl,cnf2bdd,631,328,0.0800111293793,timeout,timeout,1800.05
action,mystery,prob04.pddl,c2d-dt4,631,328,0.0800111293793,70697,532561096728973998097936128180700349965137944472049256582031352,0.519999999553
action,mystery,prob04.pddl,mc2d-dt4,631,328,0.0800111293793,69461,532561096728973998097936128180700349965137944472049256582031352,0.269999999553
action,mystery,prob04.pddl,bddminisat,631,328,0.0800111293793,memout,memout,19.8000000007
action,mystery,prob04.pddl,mc2d-dt0,631,328,0.0800111293793,64340,532561096728973998097936128180700349965137944472049256582031352,1.9299999997
action,mystery,prob04.pddl,dsharp,631,328,0.0800111293793,69189,532561000000000039885712481904196731590145128984344161440235520,2.1799999997
action,mystery,prob05.pddl,sharpSAT,6976,2563,0.423738002777,memout,memout,153.09
action,mystery,prob05.pddl,c2d-dt0,6976,2563,0.423738002777,timeout,timeout,1800.04
action,mystery,prob05.pddl,cnf2bdd,6976,2563,0.423738002777,timeout,timeout,1800.05
action,mystery,prob05.pddl,c2d-dt4,6976,2563,0.423738002777,memout,memout,1655.6
action,mystery,prob05.pddl,mc2d-dt4,6976,2563,0.423738002777,segfault,segfault,98.4800000004
action,mystery,prob05.pddl,bddminisat,6976,2563,0.423738002777,memout,memout,48.4100000001
action,mystery,prob05.pddl,mc2d-dt0,6976,2563,0.423738002777,memout,memout,665.620000001
action,mystery,prob05.pddl,dsharp,6976,2563,0.423738002777,memout,memout,44.7800000012
action,mystery,prob06.pddl,sharpSAT,31618,11093,1.99551391602,memout,memout,168.989999998
action,mystery,prob06.pddl,c2d-dt0,31618,11093,1.99551391602,memout,memout,1297.8
action,mystery,prob06.pddl,cnf2bdd,31618,11093,1.99551391602,timeout,timeout,1800.07
action,mystery,prob06.pddl,c2d-dt4,31618,11093,1.99551391602,memout,memout,1371.53
action,mystery,prob06.pddl,mc2d-dt4,31618,11093,1.99551391602,segfault,segfault,1072.29
action,mystery,prob06.pddl,bddminisat,31618,11093,1.99551391602,memout,memout,34.799999997
action,mystery,prob06.pddl,mc2d-dt0,31618,11093,1.99551391602,timeout,timeout,1841.3
action,mystery,prob06.pddl,dsharp,31618,11093,1.99551391602,memout,memout,44.4200000018
action,mystery,prob07.pddl,sharpSAT,910,486,0.120705842972,-,125294157256804771942526125947209657042099487660081637549077326178639486259482848001902880370946147653854826875956,0.0599999986589
action,mystery,prob07.pddl,c2d-dt0,910,486,0.120705842972,93200,125294157256804771942526125947209657042099487660081637549077326178639486259482848001902880370946147653854826875956,3.45000000298
action,mystery,prob07.pddl,cnf2bdd,910,486,0.120705842972,timeout,timeout,1800.1
action,mystery,prob07.pddl,c2d-dt4,910,486,0.120705842972,97419,125294157256804771942526125947209657042099487660081637549077326178639486259482848001902880370946147653854826875956,0.669999998063
action,mystery,prob07.pddl,mc2d-dt4,910,486,0.120705842972,133510,125294157256804771942526125947209657042099487660081637549077326178639486259482848001902880370946147653854826875956,0.370000001043
action,mystery,prob07.pddl,bddminisat,910,486,0.120705842972,memout,memout,23.7199999988
action,mystery,prob07.pddl,mc2d-dt0,910,486,0.120705842972,115236,125294157256804771942526125947209657042099487660081637549077326178639486259482848001902880370946147653854826875956,3.17000000179
action,mystery,prob07.pddl,dsharp,910,486,0.120705842972,17268,125294000000000004869481202110739548919950499027851993979113225346939490405660660642170333375182812412532681080832,0.459999997169
action,mystery,prob08.pddl,sharpSAT,8941,3275,0.597604036331,memout,memout,260.540000003
action,mystery,prob08.pddl,c2d-dt0,8941,3275,0.597604036331,timeout,timeout,1800.15
action,mystery,prob08.pddl,cnf2bdd,8941,3275,0.597604036331,timeout,timeout,1800.13
action,mystery,prob08.pddl,c2d-dt4,8941,3275,0.597604036331,timeout,timeout,1800.16
action,mystery,prob08.pddl,mc2d-dt4,8941,3275,0.597604036331,memout,memout,271.379999999
action,mystery,prob08.pddl,bddminisat,8941,3275,0.597604036331,memout,memout,35.0399999991
action,mystery,prob08.pddl,mc2d-dt0,8941,3275,0.597604036331,memout,memout,267.309999999
action,mystery,prob08.pddl,dsharp,8941,3275,0.597604036331,memout,memout,50.3200000003
action,mystery,prob09.pddl,sharpSAT,6841,2485,0.390604972839,memout,memout,449.449999999
action,mystery,prob09.pddl,c2d-dt0,6841,2485,0.390604972839,timeout,timeout,1800.08
action,mystery,prob09.pddl,cnf2bdd,6841,2485,0.390604972839,timeout,timeout,1800.1
action,mystery,prob09.pddl,c2d-dt4,6841,2485,0.390604972839,timeout,timeout,1800.05
action,mystery,prob09.pddl,mc2d-dt4,6841,2485,0.390604972839,memout,memout,111.489999998
action,mystery,prob09.pddl,bddminisat,6841,2485,0.390604972839,memout,memout,34.9400000013
action,mystery,prob09.pddl,mc2d-dt0,6841,2485,0.390604972839,segfault,segfault,1276.46
action,mystery,prob09.pddl,dsharp,6841,2485,0.390604972839,memout,memout,33.3299999982
action,mystery,prob10.pddl,sharpSAT,110215,38085,7.70218801498,memout,memout,165.539999999
action,mystery,prob10.pddl,c2d-dt0,110215,38085,7.70218801498,timeout,timeout,1800.12
action,mystery,prob10.pddl,cnf2bdd,110215,38085,7.70218801498,timeout,timeout,1800.2
action,mystery,prob10.pddl,c2d-dt4,110215,38085,7.70218801498,timeout,timeout,1800.07
action,mystery,prob10.pddl,mc2d-dt4,110215,38085,7.70218801498,timeout,timeout,1800.12
action,mystery,prob10.pddl,bddminisat,110215,38085,7.70218801498,segfault,segfault,0.209999997169
action,mystery,prob10.pddl,mc2d-dt0,110215,38085,7.70218801498,timeout,timeout,1932.04
action,mystery,prob10.pddl,dsharp,110215,38085,7.70218801498,memout,memout,85.4299999997
action,mystery,prob11.pddl,sharpSAT,931,420,0.0775339603424,-,8914256385678199400910625220289073503626983184630857427344104207507986504359237031995656800,0.070000000298
action,mystery,prob11.pddl,c2d-dt0,931,420,0.0775339603424,33317,8914256385678199400910625220289073503626983184630857427344104207507986504359237031995656800,3.65000000224
action,mystery,prob11.pddl,cnf2bdd,931,420,0.0775339603424,timeout,timeout,1800.1
action,mystery,prob11.pddl,c2d-dt4,931,420,0.0775339603424,31933,8914256385678199400910625220289073503626983184630857427344104207507986504359237031995656800,0.269999999553
action,mystery,prob11.pddl,mc2d-dt4,931,420,0.0775339603424,45457,8914256385678199400910625220289073503626983184630857427344104207507986504359237031995656800,0.239999998361
action,mystery,prob11.pddl,bddminisat,931,420,0.0775339603424,memout,memout,11.6900000013
action,mystery,prob11.pddl,mc2d-dt0,931,420,0.0775339603424,43086,8914256385678199400910625220289073503626983184630857427344104207507986504359237031995656800,3.18999999762
action,mystery,prob11.pddl,dsharp,931,420,0.0775339603424,11125,8914259999999999904900357639267331346836932849238296324432512220996677861498798958295646208,0.480000000447
action,mystery,prob12.pddl,sharpSAT,1378,557,0.114249944687,memout,memout,181.600000001
action,mystery,prob12.pddl,c2d-dt0,1378,557,0.114249944687,memout,memout,1477.01
action,mystery,prob12.pddl,cnf2bdd,1378,557,0.114249944687,timeout,timeout,1800.1
action,mystery,prob12.pddl,c2d-dt4,1378,557,0.114249944687,memout,memout,1395.86
action,mystery,prob12.pddl,mc2d-dt4,1378,557,0.114249944687,segfault,segfault,194.210000001
action,mystery,prob12.pddl,bddminisat,1378,557,0.114249944687,memout,memout,30.129999999
action,mystery,prob12.pddl,mc2d-dt0,1378,557,0.114249944687,memout,memout,1499.32
action,mystery,prob12.pddl,dsharp,1378,557,0.114249944687,memout,memout,25.5899999999
action,mystery,prob13.pddl,sharpSAT,53536,19273,3.6164689064,memout,memout,207.25
action,mystery,prob13.pddl,c2d-dt0,53536,19273,3.6164689064,timeout,timeout,1800.03
action,mystery,prob13.pddl,cnf2bdd,53536,19273,3.6164689064,timeout,timeout,1800.08
action,mystery,prob13.pddl,c2d-dt4,53536,19273,3.6164689064,timeout,timeout,1800.06
action,mystery,prob13.pddl,mc2d-dt4,53536,19273,3.6164689064,segfault,segfault,1231.72
action,mystery,prob13.pddl,bddminisat,53536,19273,3.6164689064,memout,memout,19.6099999994
action,mystery,prob13.pddl,mc2d-dt0,53536,19273,3.6164689064,memout,memout,1302.79
action,mystery,prob13.pddl,dsharp,53536,19273,3.6164689064,memout,memout,66.6800000034
action,mystery,prob14.pddl,sharpSAT,137617,47474,9.28713393211,memout,memout,870.579999998
action,mystery,prob14.pddl,c2d-dt0,137617,47474,9.28713393211,timeout,timeout,1800.08
action,mystery,prob14.pddl,cnf2bdd,137617,47474,9.28713393211,timeout,timeout,1800.13
action,mystery,prob14.pddl,c2d-dt4,137617,47474,9.28713393211,timeout,timeout,1800.14
action,mystery,prob14.pddl,mc2d-dt4,137617,47474,9.28713393211,timeout,timeout,1800.08
action,mystery,prob14.pddl,bddminisat,137617,47474,9.28713393211,segfault,segfault,0.209999997169
action,mystery,prob14.pddl,mc2d-dt0,137617,47474,9.28713393211,timeout,timeout,1959.56
action,mystery,prob14.pddl,dsharp,137617,47474,9.28713393211,memout,memout,87.6700000018
action,mystery,prob15.pddl,sharpSAT,49996,17346,3.2626721859,memout,memout,235.780000001
action,mystery,prob15.pddl,c2d-dt0,49996,17346,3.2626721859,timeout,timeout,1800.03
action,mystery,prob15.pddl,cnf2bdd,49996,17346,3.2626721859,timeout,timeout,1800.09
action,mystery,prob15.pddl,c2d-dt4,49996,17346,3.2626721859,timeout,timeout,1800.14
action,mystery,prob15.pddl,mc2d-dt4,49996,17346,3.2626721859,segfault,segfault,1735.44
action,mystery,prob15.pddl,bddminisat,49996,17346,3.2626721859,memout,memout,161.379999999
action,mystery,prob15.pddl,mc2d-dt0,49996,17346,3.2626721859,timeout,timeout,1837.06
action,mystery,prob15.pddl,dsharp,49996,17346,3.2626721859,memout,memout,43.4200000018
action,mystery,prob16.pddl,sharpSAT,6679,2485,0.450028896332,memout,memout,254.050000001
action,mystery,prob16.pddl,c2d-dt0,6679,2485,0.450028896332,timeout,timeout,1800.04
action,mystery,prob16.pddl,cnf2bdd,6679,2485,0.450028896332,timeout,timeout,1800.14
action,mystery,prob16.pddl,c2d-dt4,6679,2485,0.450028896332,timeout,timeout,1800.08
action,mystery,prob16.pddl,mc2d-dt4,6679,2485,0.450028896332,segfault,segfault,115.57
action,mystery,prob16.pddl,bddminisat,6679,2485,0.450028896332,memout,memout,25.7699999996
action,mystery,prob16.pddl,mc2d-dt0,6679,2485,0.450028896332,segfault,segfault,342.23
action,mystery,prob16.pddl,dsharp,6679,2485,0.450028896332,memout,memout,35.3099999987
action,mystery,prob17.pddl,sharpSAT,49849,17347,3.22245383263,memout,memout,149.510000002
action,mystery,prob17.pddl,c2d-dt0,49849,17347,3.22245383263,timeout,timeout,1800.04
action,mystery,prob17.pddl,cnf2bdd,49849,17347,3.22245383263,timeout,timeout,1800.11
action,mystery,prob17.pddl,c2d-dt4,49849,17347,3.22245383263,timeout,timeout,1800.09
action,mystery,prob17.pddl,mc2d-dt4,49849,17347,3.22245383263,segfault,segfault,1521.4
action,mystery,prob17.pddl,bddminisat,49849,17347,3.22245383263,memout,memout,18.9300000034
action,mystery,prob17.pddl,mc2d-dt0,49849,17347,3.22245383263,timeout,timeout,1875.08
action,mystery,prob17.pddl,dsharp,49849,17347,3.22245383263,memout,memout,45.5400000028
action,mystery,prob18.pddl,sharpSAT,9637,3600,0.544220924377,memout,memout,284.07
action,mystery,prob18.pddl,c2d-dt0,9637,3600,0.544220924377,timeout,timeout,1800.06
action,mystery,prob18.pddl,cnf2bdd,9637,3600,0.544220924377,timeout,timeout,1800.04
action,mystery,prob18.pddl,c2d-dt4,9637,3600,0.544220924377,timeout,timeout,1800.11
action,mystery,prob18.pddl,mc2d-dt4,9637,3600,0.544220924377,memout,memout,153.130000003
action,mystery,prob18.pddl,bddminisat,9637,3600,0.544220924377,memout,memout,34.9099999964
action,mystery,prob18.pddl,mc2d-dt0,9637,3600,0.544220924377,segfault,segfault,1547.1
action,mystery,prob18.pddl,dsharp,9637,3600,0.544220924377,memout,memout,41.0800000019
action,mystery,prob19.pddl,sharpSAT,19564,6987,1.13408303261,memout,memout,221.550000001
action,mystery,prob19.pddl,c2d-dt0,19564,6987,1.13408303261,timeout,timeout,1800.07
action,mystery,prob19.pddl,cnf2bdd,19564,6987,1.13408303261,timeout,timeout,1800.16
action,mystery,prob19.pddl,c2d-dt4,19564,6987,1.13408303261,timeout,timeout,1800.03
action,mystery,prob19.pddl,mc2d-dt4,19564,6987,1.13408303261,timeout,timeout,1800.05
action,mystery,prob19.pddl,bddminisat,19564,6987,1.13408303261,memout,memout,41.0800000019
action,mystery,prob19.pddl,mc2d-dt0,19564,6987,1.13408303261,segfault,segfault,731.529999997
action,mystery,prob19.pddl,dsharp,19564,6987,1.13408303261,memout,memout,24.4700000025
action,mystery,prob20.pddl,sharpSAT,21283,7557,1.2238008976,memout,memout,162.23
action,mystery,prob20.pddl,c2d-dt0,21283,7557,1.2238008976,timeout,timeout,1800.11
action,mystery,prob20.pddl,cnf2bdd,21283,7557,1.2238008976,timeout,timeout,1800.05
action,mystery,prob20.pddl,c2d-dt4,21283,7557,1.2238008976,timeout,timeout,1800.11
action,mystery,prob20.pddl,mc2d-dt4,21283,7557,1.2238008976,segfault,segfault,748.280000001
action,mystery,prob20.pddl,bddminisat,21283,7557,1.2238008976,memout,memout,21.3999999985
action,mystery,prob20.pddl,mc2d-dt0,21283,7557,1.2238008976,segfault,segfault,729.710000001
action,mystery,prob20.pddl,dsharp,21283,7557,1.2238008976,memout,memout,17.1099999994
action,mystery,prob21.pddl,sharpSAT,16672,6239,0.962162017822,memout,memout,202.460000001
action,mystery,prob21.pddl,c2d-dt0,16672,6239,0.962162017822,timeout,timeout,1800.06
action,mystery,prob21.pddl,cnf2bdd,16672,6239,0.962162017822,timeout,timeout,1800.09
action,mystery,prob21.pddl,c2d-dt4,16672,6239,0.962162017822,timeout,timeout,1800.1
action,mystery,prob21.pddl,mc2d-dt4,16672,6239,0.962162017822,memout,memout,471.330000002
action,mystery,prob21.pddl,bddminisat,16672,6239,0.962162017822,memout,memout,29.7199999988
action,mystery,prob21.pddl,mc2d-dt0,16672,6239,0.962162017822,timeout,timeout,1831.12
action,mystery,prob21.pddl,dsharp,16672,6239,0.962162017822,memout,memout,70.3000000007
action,mystery,prob22.pddl,sharpSAT,55543,19473,3.61881494522,memout,memout,248.32
action,mystery,prob22.pddl,c2d-dt0,55543,19473,3.61881494522,timeout,timeout,1800.04
action,mystery,prob22.pddl,cnf2bdd,55543,19473,3.61881494522,timeout,timeout,1800.1
action,mystery,prob22.pddl,c2d-dt4,55543,19473,3.61881494522,timeout,timeout,1800.04
action,mystery,prob22.pddl,mc2d-dt4,55543,19473,3.61881494522,segfault,segfault,1322.73
action,mystery,prob22.pddl,bddminisat,55543,19473,3.61881494522,memout,memout,16.9400000013
action,mystery,prob22.pddl,mc2d-dt0,55543,19473,3.61881494522,timeout,timeout,1862.76
action,mystery,prob22.pddl,dsharp,55543,19473,3.61881494522,memout,memout,39.370000001
action,mystery,prob23.pddl,sharpSAT,22087,7946,1.30969619751,memout,memout,533.989999998
action,mystery,prob23.pddl,c2d-dt0,22087,7946,1.30969619751,timeout,timeout,1800.05
action,mystery,prob23.pddl,cnf2bdd,22087,7946,1.30969619751,timeout,timeout,1800.07
action,mystery,prob23.pddl,c2d-dt4,22087,7946,1.30969619751,timeout,timeout,1800.04
action,mystery,prob23.pddl,mc2d-dt4,22087,7946,1.30969619751,memout,memout,352.030000001
action,mystery,prob23.pddl,bddminisat,22087,7946,1.30969619751,memout,memout,21.2600000016
action,mystery,prob23.pddl,mc2d-dt0,22087,7946,1.30969619751,timeout,timeout,1813.74
action,mystery,prob23.pddl,dsharp,22087,7946,1.30969619751,memout,memout,47.0600000024
