Type,Domain,Problem,Compiler,SAT Clauses,SAT Vars,SAT Encoding Time,Compiled Size,Compiled #Sol,Compile Time
fluent,mystery,prob01.pddl,sharpSAT,303,58,0.0547339916229,-,2554964082883072,0.0400000028312
fluent,mystery,prob01.pddl,c2d-dt0,303,58,0.0547339916229,1769,2554964082883072,0.429999999702
fluent,mystery,prob01.pddl,cnf2bdd,303,58,0.0547339916229,4787,-,0.379999998957
fluent,mystery,prob01.pddl,c2d-dt4,303,58,0.0547339916229,2126,2554964082883072,0.0599999986589
fluent,mystery,prob01.pddl,mc2d-dt4,303,58,0.0547339916229,3448,2554964082883072,0.10000000149
fluent,mystery,prob01.pddl,bddminisat,303,58,0.0547339916229,130545,2554964082883072,0.169999998063
fluent,mystery,prob01.pddl,mc2d-dt0,303,58,0.0547339916229,3593,2554964082883072,0.470000002533
fluent,mystery,prob01.pddl,dsharp,303,58,0.0547339916229,1673,2554960000000000,0.0499999970198
fluent,mystery,prob02.pddl,sharpSAT,7193,292,0.634627103806,memout,memout,399.550000001
fluent,mystery,prob02.pddl,c2d-dt0,7193,292,0.634627103806,timeout,timeout,1800.46
fluent,mystery,prob02.pddl,cnf2bdd,7193,292,0.634627103806,timeout,timeout,1800.47
fluent,mystery,prob02.pddl,c2d-dt4,7193,292,0.634627103806,timeout,timeout,1800.47
fluent,mystery,prob02.pddl,mc2d-dt4,7193,292,0.634627103806,segfault,segfault,1302.02
fluent,mystery,prob02.pddl,bddminisat,7193,292,0.634627103806,memout,memout,8.92000000179
fluent,mystery,prob02.pddl,mc2d-dt0,7193,292,0.634627103806,timeout,timeout,1805.37
fluent,mystery,prob02.pddl,dsharp,7193,292,0.634627103806,memout,memout,75.9400000013
fluent,mystery,prob03.pddl,sharpSAT,3353,211,0.297512054443,memout,memout,312.59
fluent,mystery,prob03.pddl,c2d-dt0,3353,211,0.297512054443,timeout,timeout,1800.51
fluent,mystery,prob03.pddl,cnf2bdd,3353,211,0.297512054443,timeout,timeout,1800.59
fluent,mystery,prob03.pddl,c2d-dt4,3353,211,0.297512054443,timeout,timeout,1800.35
fluent,mystery,prob03.pddl,mc2d-dt4,3353,211,0.297512054443,timeout,timeout,1800.16
fluent,mystery,prob03.pddl,bddminisat,3353,211,0.297512054443,memout,memout,8.78999999911
fluent,mystery,prob03.pddl,mc2d-dt0,3353,211,0.297512054443,segfault,segfault,112.789999999
fluent,mystery,prob03.pddl,dsharp,3353,211,0.297512054443,memout,memout,55.9100000001
fluent,mystery,prob04.pddl,sharpSAT,421,118,0.0754380226135,-,913365258504293272259515728240640,0.140000000596
fluent,mystery,prob04.pddl,c2d-dt0,421,118,0.0754380226135,34562,913365258504293272259515728240640,0.879999998957
fluent,mystery,prob04.pddl,cnf2bdd,421,118,0.0754380226135,62279,-,10.5800000019
fluent,mystery,prob04.pddl,c2d-dt4,421,118,0.0754380226135,31228,913365258504293272259515728240640,0.199999999255
fluent,mystery,prob04.pddl,mc2d-dt4,421,118,0.0754380226135,58075,913365258504293272259515728240640,0.279999997467
fluent,mystery,prob04.pddl,bddminisat,421,118,0.0754380226135,memout,memout,23.6900000013
fluent,mystery,prob04.pddl,mc2d-dt0,421,118,0.0754380226135,62647,913365258504293272259515728240640,0.780000001192
fluent,mystery,prob04.pddl,dsharp,421,118,0.0754380226135,51679,913365000000000050851016786051072,0.910000000149
fluent,mystery,prob05.pddl,sharpSAT,4651,238,0.406763076782,memout,memout,299.91
fluent,mystery,prob05.pddl,c2d-dt0,4651,238,0.406763076782,timeout,timeout,1800.67
fluent,mystery,prob05.pddl,cnf2bdd,4651,238,0.406763076782,timeout,timeout,1800.32
fluent,mystery,prob05.pddl,c2d-dt4,4651,238,0.406763076782,timeout,timeout,1800.53
fluent,mystery,prob05.pddl,mc2d-dt4,4651,238,0.406763076782,segfault,segfault,65.4199999981
fluent,mystery,prob05.pddl,bddminisat,4651,238,0.406763076782,memout,memout,6.1799999997
fluent,mystery,prob05.pddl,mc2d-dt0,4651,238,0.406763076782,segfault,segfault,409.759999998
fluent,mystery,prob05.pddl,dsharp,4651,238,0.406763076782,memout,memout,73.8800000027
fluent,mystery,prob06.pddl,sharpSAT,21079,554,1.87323999405,memout,memout,367.379999999
fluent,mystery,prob06.pddl,c2d-dt0,21079,554,1.87323999405,timeout,timeout,1800.59
fluent,mystery,prob06.pddl,cnf2bdd,21079,554,1.87323999405,timeout,timeout,1800.6
fluent,mystery,prob06.pddl,c2d-dt4,21079,554,1.87323999405,timeout,timeout,1800.8
fluent,mystery,prob06.pddl,mc2d-dt4,21079,554,1.87323999405,timeout,timeout,1800.78
fluent,mystery,prob06.pddl,bddminisat,21079,554,1.87323999405,memout,memout,10.200000003
fluent,mystery,prob06.pddl,mc2d-dt0,21079,554,1.87323999405,segfault,segfault,160.140000001
fluent,mystery,prob06.pddl,dsharp,21079,554,1.87323999405,memout,memout,97.3299999982
fluent,mystery,prob07.pddl,sharpSAT,607,183,0.088189125061,-,314400328141308850147461994588918966373729552228679680,0.0500000007451
fluent,mystery,prob07.pddl,c2d-dt0,607,183,0.088189125061,21745,314400328141308850147461994588918966373729552228679680,1.21000000089
fluent,mystery,prob07.pddl,cnf2bdd,607,183,0.088189125061,172452,-,188.43
fluent,mystery,prob07.pddl,c2d-dt4,607,183,0.088189125061,20638,314400328141308850147461994588918966373729552228679680,0.170000001788
fluent,mystery,prob07.pddl,mc2d-dt4,607,183,0.088189125061,55710,314400328141308850147461994588918966373729552228679680,0.230000000447
fluent,mystery,prob07.pddl,bddminisat,607,183,0.088189125061,memout,memout,15.5399999991
fluent,mystery,prob07.pddl,mc2d-dt0,607,183,0.088189125061,104536,314400328141308850147461994588918966373729552228679680,1.78000000119
fluent,mystery,prob07.pddl,dsharp,607,183,0.088189125061,12175,314400000000000006375725436242757422383926319941419008,0.219999998808
fluent,mystery,prob08.pddl,sharpSAT,5961,295,0.522652864456,memout,memout,269.349999998
fluent,mystery,prob08.pddl,c2d-dt0,5961,295,0.522652864456,timeout,timeout,1800.25
fluent,mystery,prob08.pddl,cnf2bdd,5961,295,0.522652864456,timeout,timeout,1800.8
fluent,mystery,prob08.pddl,c2d-dt4,5961,295,0.522652864456,timeout,timeout,1800.62
fluent,mystery,prob08.pddl,mc2d-dt4,5961,295,0.522652864456,segfault,segfault,160.84
fluent,mystery,prob08.pddl,bddminisat,5961,295,0.522652864456,memout,memout,60.4799999967
fluent,mystery,prob08.pddl,mc2d-dt0,5961,295,0.522652864456,segfault,segfault,221.670000002
fluent,mystery,prob08.pddl,dsharp,5961,295,0.522652864456,memout,memout,52.9900000021
fluent,mystery,prob09.pddl,sharpSAT,4561,205,0.398566007614,memout,memout,334.399999999
fluent,mystery,prob09.pddl,c2d-dt0,4561,205,0.398566007614,timeout,timeout,1800.77
fluent,mystery,prob09.pddl,cnf2bdd,4561,205,0.398566007614,timeout,timeout,1800.74
fluent,mystery,prob09.pddl,c2d-dt4,4561,205,0.398566007614,timeout,timeout,1800.46
fluent,mystery,prob09.pddl,mc2d-dt4,4561,205,0.398566007614,segfault,segfault,543.039999999
fluent,mystery,prob09.pddl,bddminisat,4561,205,0.398566007614,memout,memout,13.7800000012
fluent,mystery,prob09.pddl,mc2d-dt0,4561,205,0.398566007614,timeout,timeout,1802.99
fluent,mystery,prob09.pddl,dsharp,4561,205,0.398566007614,memout,memout,63.7600000016
fluent,mystery,prob10.pddl,sharpSAT,73477,1347,7.75063800812,memout,memout,663.379999999
fluent,mystery,prob10.pddl,c2d-dt0,73477,1347,7.75063800812,timeout,timeout,1800.74
fluent,mystery,prob10.pddl,cnf2bdd,73477,1347,7.75063800812,timeout,timeout,1800.59
fluent,mystery,prob10.pddl,c2d-dt4,73477,1347,7.75063800812,timeout,timeout,1800.5
fluent,mystery,prob10.pddl,mc2d-dt4,73477,1347,7.75063800812,segfault,segfault,758.75
fluent,mystery,prob10.pddl,bddminisat,73477,1347,7.75063800812,memout,memout,13.5599999987
fluent,mystery,prob10.pddl,mc2d-dt0,73477,1347,7.75063800812,segfault,segfault,1211.43
fluent,mystery,prob10.pddl,dsharp,73477,1347,7.75063800812,memout,memout,257.219999999
fluent,mystery,prob11.pddl,sharpSAT,621,110,0.088907957077,-,6486609084548449573348065778560,0.0500000007451
fluent,mystery,prob11.pddl,c2d-dt0,621,110,0.088907957077,10626,6486609084548449573348065778560,0.85000000149
fluent,mystery,prob11.pddl,cnf2bdd,621,110,0.088907957077,136989,-,13.4699999988
fluent,mystery,prob11.pddl,c2d-dt4,621,110,0.088907957077,10291,6486609084548449573348065778560,0.10000000149
fluent,mystery,prob11.pddl,mc2d-dt4,621,110,0.088907957077,20946,6486609084548449573348065778560,0.230000000447
fluent,mystery,prob11.pddl,bddminisat,621,110,0.088907957077,2128364,6486609084548449573348065778560,4.55999999866
fluent,mystery,prob11.pddl,mc2d-dt0,621,110,0.088907957077,25544,6486609084548449573348065778560,0.940000001341
fluent,mystery,prob11.pddl,dsharp,621,110,0.088907957077,8183,6486609999999999624690423300096,0.209999997169
fluent,mystery,prob12.pddl,sharpSAT,919,98,0.104014873505,-,216775443354307404481280,225.620000001
fluent,mystery,prob12.pddl,c2d-dt0,919,98,0.104014873505,6924788,216775443354307404481280,112.77
fluent,mystery,prob12.pddl,cnf2bdd,919,98,0.104014873505,timeout,timeout,1800.71
fluent,mystery,prob12.pddl,c2d-dt4,919,98,0.104014873505,35858206,216775443354307404481280,396.050000001
fluent,mystery,prob12.pddl,mc2d-dt4,919,98,0.104014873505,segfault,segfault,268.539999999
fluent,mystery,prob12.pddl,bddminisat,919,98,0.104014873505,memout,memout,13.9100000001
fluent,mystery,prob12.pddl,mc2d-dt0,919,98,0.104014873505,segfault,segfault,338.060000002
fluent,mystery,prob12.pddl,dsharp,919,98,0.104014873505,memout,memout,50.0799999982
fluent,mystery,prob13.pddl,sharpSAT,35691,1428,3.44250416756,memout,memout,326.48
fluent,mystery,prob13.pddl,c2d-dt0,35691,1428,3.44250416756,timeout,timeout,1800.35
fluent,mystery,prob13.pddl,cnf2bdd,35691,1428,3.44250416756,timeout,timeout,1800.57
fluent,mystery,prob13.pddl,c2d-dt4,35691,1428,3.44250416756,timeout,timeout,1800.59
fluent,mystery,prob13.pddl,mc2d-dt4,35691,1428,3.44250416756,segfault,segfault,693.57
fluent,mystery,prob13.pddl,bddminisat,35691,1428,3.44250416756,memout,memout,45.9100000001
fluent,mystery,prob13.pddl,mc2d-dt0,35691,1428,3.44250416756,segfault,segfault,963.920000002
fluent,mystery,prob13.pddl,dsharp,35691,1428,3.44250416756,memout,memout,153.91
fluent,mystery,prob14.pddl,sharpSAT,91745,1602,9.24598503113,memout,memout,1055.23
fluent,mystery,prob14.pddl,c2d-dt0,91745,1602,9.24598503113,timeout,timeout,1800.99
fluent,mystery,prob14.pddl,cnf2bdd,91745,1602,9.24598503113,timeout,timeout,1800.71
fluent,mystery,prob14.pddl,c2d-dt4,91745,1602,9.24598503113,timeout,timeout,1800.32
fluent,mystery,prob14.pddl,mc2d-dt4,91745,1602,9.24598503113,segfault,segfault,1235.01
fluent,mystery,prob14.pddl,bddminisat,91745,1602,9.24598503113,memout,memout,12.0800000019
fluent,mystery,prob14.pddl,mc2d-dt0,91745,1602,9.24598503113,segfault,segfault,1628.76
fluent,mystery,prob14.pddl,dsharp,91745,1602,9.24598503113,memout,memout,220.879999999
fluent,mystery,prob15.pddl,sharpSAT,33331,681,3.13977193832,memout,memout,402.650000002
fluent,mystery,prob15.pddl,c2d-dt0,33331,681,3.13977193832,timeout,timeout,1800.57
fluent,mystery,prob15.pddl,cnf2bdd,33331,681,3.13977193832,timeout,timeout,1800.34
fluent,mystery,prob15.pddl,c2d-dt4,33331,681,3.13977193832,timeout,timeout,1800.35
fluent,mystery,prob15.pddl,mc2d-dt4,33331,681,3.13977193832,timeout,timeout,1800.72
fluent,mystery,prob15.pddl,bddminisat,33331,681,3.13977193832,memout,memout,6.80999999866
fluent,mystery,prob15.pddl,mc2d-dt0,33331,681,3.13977193832,segfault,segfault,254.25
fluent,mystery,prob15.pddl,dsharp,33331,681,3.13977193832,memout,memout,98.2600000016
fluent,mystery,prob16.pddl,sharpSAT,4453,259,0.382394075394,memout,memout,355.969999999
fluent,mystery,prob16.pddl,c2d-dt0,4453,259,0.382394075394,timeout,timeout,1800.59
fluent,mystery,prob16.pddl,cnf2bdd,4453,259,0.382394075394,timeout,timeout,1800.43
fluent,mystery,prob16.pddl,c2d-dt4,4453,259,0.382394075394,timeout,timeout,1800.81
fluent,mystery,prob16.pddl,mc2d-dt4,4453,259,0.382394075394,segfault,segfault,412.530000001
fluent,mystery,prob16.pddl,bddminisat,4453,259,0.382394075394,memout,memout,15.6999999993
fluent,mystery,prob16.pddl,mc2d-dt0,4453,259,0.382394075394,segfault,segfault,183.02
fluent,mystery,prob16.pddl,dsharp,4453,259,0.382394075394,memout,memout,79.1400000006
fluent,mystery,prob17.pddl,sharpSAT,33233,731,3.08508300781,memout,memout,435.93
fluent,mystery,prob17.pddl,c2d-dt0,33233,731,3.08508300781,timeout,timeout,1800.4
fluent,mystery,prob17.pddl,cnf2bdd,33233,731,3.08508300781,timeout,timeout,1800.37
fluent,mystery,prob17.pddl,c2d-dt4,33233,731,3.08508300781,timeout,timeout,1800.45
fluent,mystery,prob17.pddl,mc2d-dt4,33233,731,3.08508300781,segfault,segfault,219.91
fluent,mystery,prob17.pddl,bddminisat,33233,731,3.08508300781,memout,memout,8.52000000328
fluent,mystery,prob17.pddl,mc2d-dt0,33233,731,3.08508300781,segfault,segfault,298.379999999
fluent,mystery,prob17.pddl,dsharp,33233,731,3.08508300781,memout,memout,146.649999999
fluent,mystery,prob18.pddl,sharpSAT,6425,388,0.5542948246,memout,memout,274.740000002
fluent,mystery,prob18.pddl,c2d-dt0,6425,388,0.5542948246,timeout,timeout,1800.54
fluent,mystery,prob18.pddl,cnf2bdd,6425,388,0.5542948246,timeout,timeout,1800.34
fluent,mystery,prob18.pddl,c2d-dt4,6425,388,0.5542948246,timeout,timeout,1800.49
fluent,mystery,prob18.pddl,mc2d-dt4,6425,388,0.5542948246,memout,memout,263.949999999
fluent,mystery,prob18.pddl,bddminisat,6425,388,0.5542948246,memout,memout,14.0100000016
fluent,mystery,prob18.pddl,mc2d-dt0,6425,388,0.5542948246,segfault,segfault,164.529999997
fluent,mystery,prob18.pddl,dsharp,6425,388,0.5542948246,memout,memout,62.1500000022
fluent,mystery,prob19.pddl,sharpSAT,13043,466,1.08911895752,memout,memout,379.77
fluent,mystery,prob19.pddl,c2d-dt0,13043,466,1.08911895752,timeout,timeout,1800.9
fluent,mystery,prob19.pddl,cnf2bdd,13043,466,1.08911895752,timeout,timeout,1801.28
fluent,mystery,prob19.pddl,c2d-dt4,13043,466,1.08911895752,timeout,timeout,1802.05
fluent,mystery,prob19.pddl,mc2d-dt4,13043,466,1.08911895752,segfault,segfault,369.550000001
fluent,mystery,prob19.pddl,bddminisat,13043,466,1.08911895752,memout,memout,7.1799999997
fluent,mystery,prob19.pddl,mc2d-dt0,13043,466,1.08911895752,segfault,segfault,143.669999998
fluent,mystery,prob19.pddl,dsharp,13043,466,1.08911895752,memout,memout,65.9000000022
fluent,mystery,prob20.pddl,sharpSAT,14189,463,1.2787270546,memout,memout,287.23
fluent,mystery,prob20.pddl,c2d-dt0,14189,463,1.2787270546,timeout,timeout,1801.88
fluent,mystery,prob20.pddl,cnf2bdd,14189,463,1.2787270546,timeout,timeout,1802.57
